"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","0.01UF","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm",""
"2","C2, C3, C4, C5, C7, C8, C9, C10, C11, C12, C13, C14, C15","13","100NF","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm",""
"3","C6","1","1UF 10V","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm",""
"4","C16","1","470uF 10V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"5","D1","1","EMA0","LED_THT:LED_D5.0mm",""
"6","D2","1","EMA1","LED_THT:LED_D5.0mm",""
"7","D3","1","EMA2","LED_THT:LED_D5.0mm",""
"8","D4","1","MA0","LED_THT:LED_D5.0mm",""
"9","D5","1","MA1","LED_THT:LED_D5.0mm",""
"10","D6","1","MA2","LED_THT:LED_D5.0mm",""
"11","D7","1","MA3","LED_THT:LED_D5.0mm",""
"12","D8","1","MA4","LED_THT:LED_D5.0mm",""
"13","D9","1","MA5","LED_THT:LED_D5.0mm",""
"14","D10","1","MA6","LED_THT:LED_D5.0mm",""
"15","D11","1","MA7","LED_THT:LED_D5.0mm",""
"16","D12","1","MA8","LED_THT:LED_D5.0mm",""
"17","D13","1","MA9","LED_THT:LED_D5.0mm",""
"18","D14","1","MA10","LED_THT:LED_D5.0mm",""
"19","D15","1","MA11","LED_THT:LED_D5.0mm",""
"20","D16","1","MD0","LED_THT:LED_D5.0mm",""
"21","D17","1","MD1","LED_THT:LED_D5.0mm",""
"22","D18","1","MD2","LED_THT:LED_D5.0mm",""
"23","D19","1","MD3","LED_THT:LED_D5.0mm",""
"24","D20","1","MD4","LED_THT:LED_D5.0mm",""
"25","D21","1","MD5","LED_THT:LED_D5.0mm",""
"26","D22","1","MD6","LED_THT:LED_D5.0mm",""
"27","D23","1","MD7","LED_THT:LED_D5.0mm",""
"28","D24","1","MD8","LED_THT:LED_D5.0mm",""
"29","D25","1","MD9","LED_THT:LED_D5.0mm",""
"30","D26","1","MD10","LED_THT:LED_D5.0mm",""
"31","D27","1","MD11","LED_THT:LED_D5.0mm",""
